,open,high,low,close,volume,value
2023-07-29 08:50:00,922.0,922.0,921.0,922.0,885576.70675385,815976141.1470332
2023-07-29 09:00:00,921.0,922.0,918.0,919.0,2319694.48940418,2132462569.8626587
2023-07-29 09:10:00,919.0,921.0,919.0,919.0,1053196.9883788,968800074.9750073
2023-07-29 09:20:00,919.0,921.0,918.0,919.0,1052117.08722591,966891643.663934
2023-07-29 09:30:00,919.0,920.0,918.0,919.0,1557064.21268951,1430765008.9148798
2023-07-29 09:40:00,919.0,919.0,917.0,917.0,1400487.76387171,1285549121.1656547
2023-07-29 09:50:00,918.0,920.0,917.0,919.0,1008315.57271248,926159852.4021302
2023-07-29 10:00:00,919.0,920.0,919.0,919.0,511277.28708051,470046716.7430771
2023-07-29 10:10:00,919.0,920.0,919.0,919.0,669770.83568046,615948901.6628441
2023-07-29 10:20:00,919.0,920.0,918.0,919.0,890346.73644048,818153730.4739016
2023-07-29 10:30:00,919.0,919.0,918.0,919.0,672503.79266195,617538452.1264652
2023-07-29 10:40:00,918.0,921.0,918.0,920.0,377824.87248069,347506042.1394146
2023-07-29 10:50:00,920.0,922.0,920.0,921.0,739312.49243413,680819184.0171907
2023-07-29 11:00:00,921.0,921.0,920.0,920.0,425221.97612021,391421283.27953196
2023-07-29 11:10:00,920.0,920.0,919.0,920.0,274949.35099252,252899815.96374843
2023-07-29 11:20:00,920.0,921.0,919.0,919.0,495774.79656597,455847423.25171626
2023-07-29 11:30:00,919.0,921.0,919.0,921.0,307165.77740714,282583535.23216367
2023-07-29 11:40:00,921.0,921.0,920.0,920.0,436806.54635234,402001741.6222745
2023-07-29 11:50:00,920.0,921.0,920.0,920.0,729413.39817069,671262435.5171446
2023-07-29 12:00:00,920.0,921.0,919.0,920.0,463359.71792686,426449162.144126
2023-07-29 12:10:00,920.0,921.0,920.0,920.0,524122.31106923,482473731.7140401
2023-07-29 12:20:00,921.0,921.0,920.0,921.0,371449.52035179,341906443.98351055
2023-07-29 12:30:00,920.0,921.0,920.0,921.0,243101.86761417,223754789.1216404
