,open,high,low,close,volume,value
2017-09-25 22:00:00,200.0,200.0,200.0,200.0,0.0002,0.04
2017-09-25 22:10:00,201.0,201.0,200.0,200.0,0.0004,0.0802
2017-09-25 22:20:00,201.0,201.0,200.0,200.0,0.0003,0.0602
2017-09-25 22:30:00,200.0,200.0,200.0,200.0,0.0004,0.08
2017-09-25 22:40:00,200.0,200.0,200.0,200.0,0.0004,0.08
2017-09-25 22:50:00,200.0,200.0,200.0,200.0,0.0003,0.06
2017-09-25 23:00:00,200.0,200.0,199.0,200.0,0.0004,0.0798
2017-09-25 23:10:00,201.0,201.0,199.0,200.0,0.0004,0.08
2017-09-25 23:20:00,200.0,201.0,200.0,200.0,0.0003,0.0601
2017-09-25 23:30:00,201.0,203.0,201.0,203.0,0.0004,0.0807
2017-09-25 23:40:00,203.0,204.0,203.0,203.0,0.0004,0.0813
2017-09-25 23:50:00,204.0,204.0,203.0,204.0,0.0003,0.0611
2017-09-26 00:00:00,203.0,204.0,202.0,202.0,0.0004,0.0812
2017-09-26 00:10:00,202.0,203.0,202.0,202.0,0.0004,0.0809
2017-09-26 00:30:00,203.0,203.0,203.0,203.0,0.0003,0.0609
2017-09-26 00:40:00,203.0,203.0,203.0,203.0,0.0003,0.0609
2017-09-26 00:50:00,203.0,203.0,203.0,203.0,0.0001,0.0203
2017-09-26 01:00:00,203.0,204.0,203.0,204.0,0.0004,0.0814
2017-09-26 01:10:00,204.0,204.0,204.0,204.0,0.0003,0.0612
2017-09-26 01:20:00,204.0,204.0,203.0,204.0,0.0004,0.0815
2017-09-26 01:30:00,204.0,204.0,204.0,204.0,0.0004,0.0816
2017-09-26 02:30:00,202.0,202.0,202.0,202.0,0.0001,0.0202
2017-09-26 02:40:00,203.0,204.0,203.0,203.0,0.0004,0.0813
2017-09-26 02:50:00,204.0,204.0,204.0,204.0,0.0004,0.0816
2017-09-26 03:00:00,203.0,204.0,203.0,204.0,0.0003,0.061
2017-09-26 03:10:00,203.0,203.0,203.0,203.0,0.0004,0.0812
2017-09-26 03:20:00,203.0,203.0,203.0,203.0,0.0004,0.0812
2017-09-26 03:30:00,203.0,204.0,203.0,203.0,0.0003,0.061
2017-09-26 03:40:00,204.0,204.0,203.0,203.0,0.0004,0.0814
2017-09-26 03:50:00,203.0,203.0,203.0,203.0,0.0004,0.0812
2017-09-26 04:00:00,203.0,204.0,203.0,204.0,0.0004,0.0815
2017-09-26 04:10:00,204.0,204.0,203.0,203.0,0.0003,0.061
2017-09-26 04:20:00,204.0,204.0,203.0,203.0,0.0004,0.0815
2017-09-26 04:30:00,203.0,204.0,203.0,204.0,0.0004,0.0813
2017-09-26 04:40:00,203.0,204.0,203.0,204.0,0.0003,0.061
2017-09-26 04:50:00,204.0,204.0,204.0,204.0,0.0004,0.0816
2017-09-26 05:00:00,204.0,205.0,204.0,204.0,0.0004,0.0817
2017-09-26 05:10:00,205.0,205.0,204.0,204.0,0.0004,0.0818
2017-09-26 05:20:00,203.0,204.0,203.0,203.0,0.0003,0.061
2017-09-26 05:30:00,204.0,204.0,203.0,203.0,0.0004,0.0815
2017-09-26 05:40:00,204.0,204.0,203.0,203.0,0.0004,0.0815
2017-09-26 05:50:00,203.0,204.0,203.0,203.0,0.0004,0.0813
2017-09-26 06:00:00,203.0,204.0,203.0,203.0,0.0003,0.061
2017-09-26 06:10:00,203.0,204.0,203.0,204.0,0.0004,0.0815
2017-09-26 06:20:00,203.0,204.0,203.0,204.0,0.0004,0.0814
2017-09-26 06:30:00,203.0,204.0,203.0,204.0,0.0003,0.061
2017-09-26 06:40:00,203.0,204.0,203.0,204.0,0.0004,0.0815
2017-09-26 06:50:00,204.0,204.0,203.0,203.0,0.0004,0.0813
2017-09-26 07:00:00,204.0,204.0,203.0,204.0,0.0004,0.0815
2017-09-26 07:10:00,203.0,203.0,203.0,203.0,0.0003,0.0609
2017-09-26 07:20:00,203.0,203.0,203.0,203.0,0.0004,0.0812
2017-09-26 07:30:00,203.0,203.0,203.0,203.0,0.0004,0.0812
2017-09-26 07:40:00,203.0,203.0,203.0,203.0,0.0003,0.0609
2017-09-26 07:50:00,203.0,203.0,203.0,203.0,0.0004,0.0812
2017-09-26 08:00:00,203.0,203.0,202.0,202.0,0.0004,0.0809
2017-09-26 08:10:00,202.0,203.0,202.0,203.0,0.0003,0.0608
